,row,col,change,rc
430,17,6,1.0449535663284895,a17b6
431,17,7,1.0465851901621614,a17b7
432,17,8,1.0481014353326914,a17b8
433,17,9,1.0495126754556516,a17b9
434,17,10,1.0508128507595436,a17b10
435,17,11,1.0520141884796417,a17b11
436,17,12,1.0531196366782007,a17b12
437,17,13,1.0541251269192962,a17b13
438,17,14,1.0550392733564014,a17b14
439,17,15,1.0558603806228373,a17b15
440,17,16,1.0565940311418685,a17b16
441,17,17,1.0572443771626296,a17b17
442,17,18,1.057809169550173,a17b18
443,17,19,1.0582924740484427,a17b19
444,17,20,1.0586971453287197,a17b20
445,17,21,1.0590230983532318,a17b21
446,17,22,1.0592716167019247,a17b22
447,17,23,1.0594428486819807,a17b23
448,17,24,1.0595377386861462,a17b24
449,17,25,1.0595604597898425,a17b25
450,17,26,1.0595067108850935,a17b26
451,17,27,1.0593781301162815,a17b27
452,17,28,1.059172831828021,a17b28
453,17,29,1.0588916358708924,a17b29
454,17,30,1.0585304618910933,a17b30
455,17,31,1.058093339100346,a17b31
456,17,32,1.0575753394259209,a17b32
457,17,33,1.0569729238754326,a17b33
458,17,34,1.056285155349704,a17b34
459,17,35,1.0555128760139707,a17b35
460,17,36,1.0546533649653576,a17b36
461,17,37,1.052831693352343,a17b37
462,17,38,1.0527537135118312,a17b38
463,17,39,1.0531453492944793,a17b39
464,17,40,1.052697997020675,a17b40
465,18,2,1.0310612512558524,a18b2
466,18,3,1.03298330449827,a18b3
467,18,4,1.0350653979238755,a18b4
468,18,5,1.0370223183391003,a18b5
469,18,6,1.0388578291653787,a18b6
470,18,7,1.0405751528368792,a18b7
471,18,8,1.0421786152601376,a18b8
472,18,9,1.0436691818664439,a18b9
473,18,10,1.045050865051903,a18b10
474,18,11,1.0463237157942362,a18b11
475,18,12,1.0474993260175234,a18b12
476,18,13,1.0485690725616412,a18b13
477,18,14,1.0495441176470588,a18b14
478,18,15,1.0504210207612457,a18b15
479,18,16,1.0512081314878892,a18b16
480,18,17,1.0519031141868511,a18b17
481,18,18,1.052510553633218,a18b18
482,18,19,1.0530314878892735,a18b19
483,18,20,1.0534647923875433,a18b20
484,18,21,1.0538154844290657,a18b21
485,18,22,1.0540840153498814,a18b22
486,18,23,1.0542686516293587,a18b23
487,18,24,1.0543753915626402,a18b24
488,18,25,1.0543987794309824,a18b25
489,18,26,1.054338615673969,a18b26
490,18,27,1.054200711276305,a18b27
491,18,28,1.0539780009046837,a18b28
492,18,29,1.0536795877681717,a18b29
493,18,30,1.0532861994321474,a18b30
494,18,31,1.0528148788927336,a18b31
495,18,32,1.052258076739373,a18b32
496,18,33,1.0516116346658655,a18b33
497,18,34,1.0508788804979994,a18b34
498,18,35,1.0500509515570935,a18b35
499,18,36,1.0491317474048443,a18b36
500,18,37,1.0481160034602077,a18b37
501,18,38,1.04803818292791,a18b38
502,19,1,1.020277292058834,a19b1
503,19,2,1.0238929990644279,a19b2
504,19,3,1.0262420415224913,a19b3
505,19,4,1.0284096885813148,a19b4
506,19,5,1.030450865051903,a19b5
507,19,6,1.03236946366782,a19b6
508,19,7,1.0341660034602076,a19b7
509,19,8,1.0358479238754323,a19b8
510,19,9,1.0374129757785466,a19b9
511,19,10,1.0388665224913494,a19b10
512,19,11,1.0402092602442217,a19b11
513,19,12,1.041447084253814,a19b12
514,19,13,1.042577249134948,a19b13
515,19,14,1.0436097750865052,a19b14
516,19,15,1.0445415224913495,a19b15
517,19,16,1.0453765570934257,a19b16
518,19,17,1.0461153979238755,a19b17
519,19,18,1.046760294117647,a19b18
520,19,19,1.0473142733564014,a19b19
521,19,20,1.0477756920415227,a19b20
522,19,21,1.0481516435986158,a19b21
523,19,22,1.0484365051903115,a19b22
524,19,23,1.0486341385432587,a19b23
525,19,24,1.0487459342560554,a19b24
526,19,25,1.048771512982391,a19b25
527,19,26,1.048709206377055,a19b26
528,19,27,1.0485577756118456,a19b27
529,19,28,1.048322349932475,a19b28
530,19,29,1.0479989245566823,a19b29
531,19,30,1.0475877449653548,a19b30
532,19,31,1.0470858996539791,a19b31
533,19,32,1.0464900027183595,a19b32
534,19,33,1.0458048368535888,a19b33
535,19,34,1.0450241651213361,a19b34
536,19,35,1.0441493079584776,a19b35
537,19,36,1.0431740484429066,a19b36
538,19,37,1.0423928627803485,a19b37
539,19,38,1.045556895858464,a19b38
540,20,1,1.0147875579694343,a20b1
541,20,2,1.016765570934256,a20b2
542,20,3,1.0191423010380622,a20b3
543,20,4,1.0213881487889274,a20b4
544,20,5,1.0235082179930797,a20b5
545,20,6,1.025500865051903,a20b6
546,20,7,1.0273681660899654,a20b7
547,20,8,1.0291251730103805,a20b8
548,20,9,1.0307593425605537,a20b9
549,20,10,1.0322785467128026,a20b10
550,20,11,1.0336846709571885,a20b11
551,20,12,1.0349806228373701,a20b12
552,20,13,1.036170847750865,a20b13
553,20,14,1.0372556228373702,a20b14
554,20,15,1.0382353806228375,a20b15
555,20,16,1.0391136678200692,a20b16
556,20,17,1.0398954152249136,a20b17
557,20,18,1.0405744809688582,a20b18
558,20,19,1.0411607266435985,a20b19
559,20,20,1.041649740484429,a20b20
560,20,21,1.0420460207612456,a20b21
561,20,22,1.0423469478233525,a20b22
562,20,23,1.0425572278220914,a20b23
563,20,24,1.0426743944636678,a20b24
564,20,25,1.0426989743847506,a20b25
565,20,26,1.0426369700648452,a20b26
566,20,27,1.0424767279276372,a20b27
567,20,28,1.0422268280747,a20b28
568,20,29,1.041883081185062,a20b29
569,20,30,1.041448931835582,a20b30
570,20,31,1.0409181843073152,a20b31
571,20,32,1.0402908208585175,a20b32
572,20,33,1.039567142333165,a20b33
573,20,34,1.038744879411786,a20b34
574,20,35,1.0378239445069568,a20b35
575,20,36,1.0367962250398206,a20b36
576,20,37,1.0356637302998208,a20b37
577,20,38,1.0336602859368806,a20b38
578,20,39,1.030896077753604,a20b39
579,21,1,1.0101581546539977,a21b1
580,21,2,1.0097217628111463,a21b2
581,21,3,1.0116967993079584,a21b3
582,21,4,1.0140161764705882,a21b4
583,21,5,1.0162049307958478,a21b5
584,21,6,1.0182701557093425,a21b6
585,21,7,1.020208650519031,a21b7
586,21,8,1.0220255190311418,a21b8
587,21,9,1.0237243079584775,a21b9
588,21,10,1.025303633217993,a21b10
589,21,11,1.0267684284138878,a21b11
590,21,12,1.028122172297993,a21b12
591,21,13,1.0293606898839092,a21b13
592,21,14,1.0304950692041521,a21b14
593,21,15,1.031521366782007,a21b15
594,21,16,1.032439705882353,a21b16
595,21,17,1.0332558823529412,a21b17
596,21,18,1.0339732833048814,a21b18
597,21,19,1.0345857541956953,a21b19
598,21,20,1.0350981833910036,a21b20
599,21,21,1.0355141808709518,a21b21
600,21,22,1.0358330127381334,a21b22
601,21,23,1.0360525312735793,a21b23
602,21,24,1.036175865051903,a21b24
603,21,25,1.036203373702422,a21b25
604,21,26,1.0361342388895252,a21b26
605,21,27,1.0359682525951557,a21b27
606,21,28,1.0357068339100346,a21b28
607,21,29,1.035345732834682,a21b29
608,21,30,1.034887458096284,a21b30
609,21,31,1.0343307093425607,a21b31
610,21,32,1.0336734429065744,a21b32
611,21,33,1.0329146193771626,a21b33
612,21,34,1.0320531374930817,a21b34
613,21,35,1.031086729272198,a21b35
614,21,36,1.0300162702283542,a21b36
615,21,37,1.0288368511273804,a21b37
616,21,38,1.027548615916955,a21b38
617,21,39,1.0258294148432443,a21b39
618,21,40,1.0,a21b40
619,22,2,1.00478214161772,a22b2
620,22,3,1.0051466477733808,a22b3
621,22,4,1.0063361429073294,a22b4
622,22,5,1.008556920415225,a22b5
623,22,6,1.010687543252595,a22b6
624,22,7,1.012688321799308,a22b7
625,22,8,1.0145661764705882,a22b8
626,22,9,1.0163218858131489,a22b9
627,22,10,1.0179572664359862,a22b10
628,22,11,1.0194753460207613,a22b11
629,22,12,1.0208775951557092,a22b12
630,22,13,1.0221685760594397,a22b13
